BBC ONE,1,319976850,b. b. c. one,BBC ONE Yorks,BBC ONE
BBC TWO,2,1983769898,b. b. c. two,,
ITV,3,670342063,i. t. v.,itv,
CHANNEL 4,4,channel four,770639178,,
CHANNEL 5,5,channel five,774588315,,
ITV2,6,874450395,i .t .v. two,,
ITV3,7,1366813947,i. t. v. three,,
ITV4,8,608550526,i. t. v. four,,
BBC FOUR,9,95644982,b. b. c. four,,
Drama,10,525546090,,,
Yesterday,11,1023692892,,,
Dave,12,1131469723,,,
More 4,13,more four,1868938824,,
QUEST,14,412076200,,,
Forces TV,15,607752516,forces t. v.,,
4seven,16,four seven,615474486,4. seven,
Paramount Network,17,332834044,,,
Film4,18,film four,664901510,Film 4,
Film4+1,19,film four plus one,1055517848,Film 4 plus 1,
Sony Movie Ch,20,1861370063,,,
Sony Crime Channel,21,120708507,,,
Together,22,1836908441,,,
5SELECT,23,five select,998835837,,
PBS America,24,p. b. s. america,311307122,,
E4,25,e. four,1151028777,e. 4.,
E4+1,26,e. four plus one,1806276654,e. 4 plus 1,
5 USA,27,five u. s. a.,1074378167,5 u. s. a.,
5USA+1,28,five u. s. a. plus one,2101251538,,
5Spike,29,five spike,851835370,,
5Spike+1,30,five spike plus one,1711402055,,
5STAR,31,five star,38688855,,
Dave ja vu,32,dave ja voo,1509825151,,
ITV +1,33,itv plus one,2093796053,,
Channel 4+1,34,channel four plus one,548498103,,
Channel 5+1,35,channel five plus one,1559731975,,
ITV2 +1,36,i. t. v. two plus one,2082093488,,
ITV3+1,37,i. t. v. three plus one,1501697284,,
ITV4+1,38,i. t. v. four plus one,1199285491,,
More4+1,39,more four plus one,2140128589,,
Travel Channel,40,626488344,,,
Pick,41,641279604,,,
Quest Red,42,922459304,,,
Home,43,451700290,,,
ITVBe,44,196604894,,,
Food Network,45,991550444,,,
Really,46,56600191,,,
Sony Crime 2,47,sony crime two,194126777,,
Food Netwrk+1,48,food network plus one,1855522360,,
ITVBe+1,49,i. t. v. be plus one,1402727998,,
CBS Action,50,c. b. s. action,851086101,,
Blaze,51,1443855608,,,
QUEST+1,52,quest plus one,1621400045,,
Challenge,53,885492638,,,
Quest Red+1,54,quest red plus one,1336724661,,
YourTV,55,2106647683,,,
Sony Crime+1,56,sony crime plus one,181882782,,
Pick+1,57,pick plus one,132843251,,
tru TV,58,1477201258,,,
True Entertainment,59,1563168475,,,
movies4men,60,movies four men,525755447,,
True Ent+1,61,true entertainment plus one,1480362068,,
CBS Drama,62,961860270,,,
Horror Channel,63,1320450349,,,
truTV+1,64,2084552641,,,
CBS Reality,65,378471630,,,
CBS Reality +1,66,267843615,,,
Challenge+1,68,1702259044,,,
Chart Show TV,70,948714011,,,
Starz TV,71,625426545,,,
The Vault,72,1652154715,,,
4Music,73,four music,635474974,,
Christmas Hits,74,1674755885,,,
Scuzz,75,1711825427,,,
Keep It Country,76,415473979,,,
Vintage TV,77,813597222,,,
BBC NEWS,80,b. b. c. news,1469506890,,
Sky News,81,750548491,,,
BBC RB 1,82,b. b. c. red button one,1938812042,,
BBC Red Button,83,1161954934,,,
Motorsport TV,84,1271922271,,,
FreeSports,85,1020920305,,,
BBC ONE HD,101,1965820040,,,
BBC TWO HD,102,1267619310,,,
ITV HD,103,252341235,,,
Channel 4 HD,104,channel four hd,1516595162,,
Channel 5 HD,105,channel five hd,258248715,,
BBC NEWS HD,106,311413582,,,
Channel 4+1 HD,107,channel four plus one h. d.,1878058630,,
4seven HD,108,four seven h. d.,1727804993,,
RT HD,109,r. t. h. d.,294303908,,
CBBC,201,c. b. b. c,1823303582,,
CBeebies,202,765581816,,,
CITV,203,c. i. t. v.,1800452320,,
POP,204,16254429,,,
POP+1,205,pop plus one,1974481321,,
Tiny Pop,206,162006318,,,
Tiny Pop+1,207,tiny pop plus one,1949319700,,
POP Max,208,1914539941,,,
POP Max+1,209,pop max plus one,2117457737,,
